rowid,zpid,Status Type,Status Text,Time On Zillow,Price,Area,Price Per Sqft,Zestimate,Zestimate Price Per Sqft,Rent Zestimate,Lot Area,Lot Area Unit,Beds,Bathrooms,Address,Street,City,Zipcode,Latitude,Longitude,Broker Name,Detail URL,Search Page URL
0,43811944,FOR_SALE,House for sale,,389900,1631,239,,,,7875,sqft,3,2,"1331 NW 50th St, Miami, FL 33142",1331 NW 50th St,Miami,33142,"25,821117","-80,21888","Elite Realty Partners, Inc.",https://www.zillow.com/homedetails/1331-NW-50th-St-Miami-FL-33142/43811944_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
1,44162667,FOR_SALE,House for sale,4 days ,350000,1924,182,334782,174,3599,6750,sqft,3,2,"2978 NW 28th St, Miami, FL 33142",2978 NW 28th St,Miami,33142,"25,8013","-80,24356",Sea Grove Realty,https://www.zillow.com/homedetails/2978-NW-28th-St-Miami-FL-33142/44162667_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
2,44333128,FOR_SALE,Townhouse for sale,7 days ,375000,1510,248,362602,240,2057,0,sqft,3,3,"13402 SW 153rd St APT 1906, Miami, FL 33177",13402 SW 153rd St APT 1906,Miami,33177,"25,62536","-80,41022",RE/MAX Advance Realty,https://www.zillow.com/homedetails/13402-SW-153rd-St-APT-1906-Miami-FL-33177/44333128_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
3,43847151,FOR_SALE,Condo for sale,4 days ,240000,882,272,231273,262,1082,0,sqft,2,2,"5050 NW 7th St PENTHOUSE 3, Miami, FL 33126",5050 NW 7th St PENTHOUSE 3,Miami,33126,"25,777895","-80,27752",Luxe Properties,https://www.zillow.com/homedetails/5050-NW-7th-St-PENTHOUSE-3-Miami-FL-33126/43847151_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
4,44362762,FOR_SALE,House for sale,,389000,1313,296,,,,1924,sqft,4,2,"20010 SW 123rd Dr, Miami, FL 33177",20010 SW 123rd Dr,Miami,33177,"25,580612","-80,39236",JLS Investment Realty LLC,https://www.zillow.com/homedetails/20010-SW-123rd-Dr-Miami-FL-33177/44362762_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
5,113378795,FOR_SALE,Condo for sale,,345000,803,430,343800,428,1972,0,sqft,2,2,"1871 NW South River Dr UNIT 802, Miami, FL 33125",1871 NW South River Dr UNIT 802,Miami,33125,"25,78521","-80,2259",Beachfront Realty Inc,https://www.zillow.com/homedetails/1871-NW-South-River-Dr-UNIT-802-Miami-FL-33125/113378795_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
6,64445186,FOR_SALE,Condo for sale,1 day ,315000,882,357,313100,355,2163,0,sqft,1,2,"816 NW 11th St APT 505, Miami, FL 33136",816 NW 11th St APT 505,Miami,33136,"25,783781","-80,20879",Realty One Group Evolution,https://www.zillow.com/homedetails/816-NW-11th-St-APT-505-Miami-FL-33136/64445186_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
7,43828273,FOR_SALE,Condo for sale,31 days ,375000,945,397,,,,0,sqft,2,2,"860 NE 78th St APT 504, Miami, FL 33138",860 NE 78th St APT 504,Miami,33138,"25,847136","-80,17887",Douglas Elliman,https://www.zillow.com/homedetails/860-NE-78th-St-APT-504-Miami-FL-33138/43828273_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
8,44277965,FOR_SALE,Condo for sale,1 day ,295000,1077,274,294200,273,2585,0,sqft,2,2,"10778 N Kendall Dr APT E17, Miami, FL 33176",10778 N Kendall Dr APT E17,Miami,33176,"25,684958","-80,36814","New Era Solutions, Inc.",https://www.zillow.com/homedetails/10778-N-Kendall-Dr-APT-E17-Miami-FL-33176/44277965_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
9,2144462693,FOR_SALE,Home for sale,6 days ,300000,1690,178,,,,7200,sqft,4,2,"19800 SW 180th Ave, Miami, FL 33187",19800 SW 180th Ave,Miami,33187,"25,58159","-80,48648",Diamond Realty Team LLC,https://www.zillow.com/homedetails/19800-SW-180th-Ave-Miami-FL-33187/2144462693_zpid/,https://www.zillow.com/miami-fl/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22north%22%3A26.00085976696961%2C%22east%22%3A-79.93262584082031%2C%22south%22%3A25.404430408836117%2C%22west%22%3A-80.75522715917968%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A400000%7D%2C%22mp%22%3A%7B%22min%22%3A1007%2C%22max%22%3A2013%7D%7D%2C%22isListVisible%22%3Atrue%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D
