ID,Education,Age,DaysAsCustomer,Marital_Status,Kidhome,Teenhome,Country,Recency,Purchases,Spent_percent, Income ,CampaingsAccepted,Complain,Spent
1826,Graduation,53,3392,Divorced,0,0,Spain,0,15,0.0884574872572901,84835.0,0,0,1190
1,Graduation,62,3393,Single,0,0,Canada,0,18,0.0428907312163499,57091.0,1,0,577
10476,Graduation,65,3426,Married,0,1,USA,0,11,0.0186578397492267,67267.0,0,0,251
1386,Graduation,56,3428,Together,1,1,Australia,0,4,0.0008176742519581,32474.0,0,0,11
5371,Graduation,34,3461,Single,1,0,Spain,0,8,0.006764396084381,21474.0,1,0,91
7348,PhD,65,3483,Single,0,0,Spain,0,17,0.0886061553031007,71691.0,0,0,1192
4073,2n Cycle,69,3530,Married,0,0,Germany,0,28,0.0903158378299222,63564.0,1,0,1215
1991,Graduation,56,3541,Together,0,1,Spain,0,7,0.0071360661989074,44931.0,0,0,96
4047,PhD,69,3548,Married,0,1,USA,0,20,0.0404377084604754,65324.0,0,0,544
9477,PhD,69,3548,Married,0,1,India,0,20,0.0404377084604754,65324.0,0,0,544
2079,2n Cycle,76,3563,Married,0,0,USA,0,22,0.0897954996695852,81044.0,0,0,1208
5642,Master,44,3581,Together,1,0,Spain,0,12,0.0165021530849734,62499.0,0,0,222
10530,PhD,64,3583,Widow,0,0,India,0,16,0.0859301304785104,67786.0,0,0,1156
2964,Graduation,42,3635,Married,0,0,Canada,0,5,0.0053520496491805,26872.0,0,0,72
10311,Graduation,54,3646,Married,0,1,Spain,0,25,0.0266859142229976,4428.0,0,0,359
837,Graduation,46,3670,Married,1,1,Spain,0,12,0.0129341199855197,54809.0,0,0,174
10521,Graduation,46,3670,Married,1,1,Spain,0,12,0.0129341199855197,54809.0,0,0,174
10175,PhD,65,3711,Divorced,0,1,Spain,0,5,0.0016353485039162,32173.0,0,0,22
1473,2n Cycle,63,3720,Single,0,1,Canada,0,7,0.0053520496491805,47823.0,0,0,72
2795,Master,65,3742,Single,2,1,Canada,0,4,0.0009663422977687,30523.0,0,0,13
2285,Master,69,3776,Together,0,1,Saudi Arabia,0,15,0.0249018976732707,36634.0,0,0,335
115,Master,57,3839,Single,0,1,India,0,17,0.0292132710017773,43456.0,0,0,393
10470,Master,44,3850,Married,1,0,Germany,0,8,0.0068387301072862,40662.0,0,0,92
4065,PhD,47,3881,Married,1,0,Spain,0,16,0.0300309452537354,49544.0,0,0,404
10968,Graduation,54,3962,Single,0,1,India,0,26,0.0523311521253212,57731.0,0,0,704
5985,Master,58,4003,Single,0,1,Spain,0,10,0.0090687507944448,33168.0,0,0,122
5430,Graduation,67,4032,Together,1,1,Spain,0,31,0.0508444716672155,54450.0,0,0,684
8432,Graduation,67,4032,Together,1,1,Spain,0,31,0.0508444716672155,54450.0,0,0,684
453,PhD,67,3379,Widow,1,1,Spain,1,7,0.0033450310307378,35340.0,0,0,45
9687,Graduation,48,3408,Single,0,0,Canada,1,16,0.0539665006292375,73170.0,0,0,726
8890,PhD,52,3409,Divorced,1,1,Spain,1,14,0.0202188542302377,65808.0,0,0,272
9264,Graduation,37,3442,Married,0,0,Canada,1,22,0.1217591295188581,79529.0,0,0,1638
5824,PhD,51,3458,Together,2,1,Australia,1,4,0.0005946721832422,34578.0,0,0,8
5794,PhD,49,3483,Married,0,1,India,1,18,0.0331529742157574,46374.0,2,0,446
3068,Graduation,33,3622,Married,0,0,Spain,1,6,0.0031963629849272,18351.0,0,0,43
7962,PhD,36,3642,Single,0,0,Spain,1,12,0.1413089775429483,95169.0,2,0,1901
2681,2n Cycle,39,3711,Married,0,0,Spain,1,19,0.0342679845593367,65370.0,0,0,461
10141,Master,63,3794,Divorced,0,0,Saudi Arabia,1,4,0.0014866804581057,39228.0,0,0,20
3725,PhD,62,3795,Single,0,0,Spain,1,16,0.1254758306641224,84865.0,4,0,1688
3767,Graduation,55,3809,Married,0,1,Spain,1,24,0.0749286950885281,61314.0,0,0,1008
5585,Graduation,51,3814,Single,1,0,Canada,1,7,0.0035680330994537,21359.0,0,0,48
7030,PhD,68,3835,Married,0,1,Spain,1,35,0.1103860240143494,66465.0,1,0,1485
1524,2n Cycle,40,3864,Single,0,0,Spain,1,16,0.0820647612874355,81698.0,1,0,1104
3657,Graduation,37,3879,Single,1,0,Spain,1,11,0.0122651137793721,39146.0,0,0,165
5740,2n Cycle,53,3879,Divorced,1,1,Spain,1,7,0.004162705282696,25959.0,0,0,56
9595,Graduation,62,3913,Together,0,0,Spain,1,14,0.1170017520529198,64260.0,0,0,1574
3158,Graduation,50,3921,Married,1,0,Spain,1,5,0.0028990268933061,32300.0,0,0,39
5114,Master,58,3936,Married,0,1,Australia,1,16,0.0717323321036008,74806.0,0,0,965
340,Graduation,53,3940,Divorced,0,1,Germany,1,19,0.036944009383927,72967.0,1,0,497
8805,Graduation,63,3953,Single,0,1,USA,1,17,0.027577922497861,48904.0,0,0,371
1241,2n Cycle,39,4029,Married,1,0,Germany,1,6,0.0037910351681695,14796.0,0,0,51
1402,Master,69,4035,Married,0,0,Germany,1,21,0.0931405307003231,66991.0,0,0,1253
7264,2n Cycle,45,3427,Single,2,1,Saudi Arabia,2,4,0.0012636783893898,52195.0,0,0,17
1619,Graduation,67,3441,Married,0,0,Spain,2,17,0.1180424283735938,90369.0,0,0,1588
6398,Basic,49,3471,Married,1,0,Spain,2,8,0.0037167011452642,18393.0,0,0,50
1857,Graduation,71,3494,Single,1,1,Spain,2,7,0.0061697239011387,47139.0,0,0,83
4877,Master,50,3496,Married,0,1,India,2,5,0.0030476949391167,38576.0,0,0,41
3066,PhD,48,3524,Together,0,1,Saudi Arabia,2,12,0.017171159291121,61905.0,0,0,231
10286,Graduation,61,3525,Married,0,0,Saudi Arabia,2,24,0.0688333052102946,83715.0,0,0,926
1992,Graduation,59,3558,Married,0,1,Spain,2,16,0.0663802824544202,60597.0,1,0,893
4246,Master,41,3578,Single,0,0,Spain,2,2,0.0277265905436716,6560.0,0,0,373
10623,Master,62,3605,Together,0,1,Spain,2,5,0.0023786887329691,48330.0,0,0,32
4867,PhD,55,3661,Single,1,1,Spain,2,11,0.0065413940156651,38236.0,0,0,88
3112,Master,46,3676,Married,1,0,Spain,2,5,0.0017840165497268,22701.0,0,0,24
4865,Master,49,3681,Divorced,1,1,Australia,2,21,0.0297336091621143,53367.0,0,0,400
6287,Graduation,37,3713,Together,1,0,Spain,2,5,0.0026760248245902,34728.0,0,0,36
4405,Master,67,3713,Married,0,2,Australia,2,23,0.0586495440722705,63915.0,0,0,789
5332,2n Cycle,63,3716,Married,0,0,India,2,17,0.0792400684170346,82504.0,0,0,1066
1519,PhD,51,3751,Single,1,1,Spain,2,9,0.0054263836720858,38578.0,0,0,73
9080,PhD,51,3751,Single,1,1,Spain,2,9,0.0054263836720858,38578.0,0,0,73
1772,PhD,48,3913,Married,0,0,Canada,2,19,0.1518644087954989,79174.0,2,0,2043
5341,2n Cycle,61,3919,Divorced,0,1,Saudi Arabia,2,14,0.1180424283735938,81975.0,1,0,1588
5510,Master,46,3964,Married,0,1,Spain,2,16,0.032781304101231,43263.0,0,0,441
3887,Graduation,53,3974,Single,1,0,India,2,7,0.0078794064279602,27242.0,0,0,106
7022,Graduation,52,4018,Married,1,0,Saudi Arabia,2,21,0.104810972296453,76445.0,0,0,1410
9999,Graduation,58,4019,Together,0,0,Spain,2,23,0.0773073838214972,75276.0,0,0,1040
10352,Graduation,60,4039,Widow,1,1,Saudi Arabia,2,9,0.0086970806799184,34213.0,0,0,117
7919,PhD,47,4064,Together,0,0,Spain,2,23,0.1555067759178579,72335.0,0,0,2092
4114,Master,59,4066,Married,0,0,Australia,2,29,0.1258475007786489,79143.0,0,0,1693
7990,Graduation,76,4075,Married,0,0,Canada,2,4,0.0012636783893898,27469.0,0,0,17
9888,Graduation,54,3383,Together,0,0,Spain,3,16,0.0810984189896668,68695.0,0,0,1091
4399,Graduation,54,3383,Together,0,0,Canada,3,16,0.0810984189896668,68695.0,0,0,1091
4452,Graduation,66,3411,Single,0,1,Germany,3,17,0.0276522565207663,50388.0,2,0,372
4785,PhD,53,3455,Together,0,2,Saudi Arabia,3,22,0.053074492354374,77622.0,0,0,714
8461,Graduation,61,3490,Divorced,2,1,Spain,3,4,0.0011893443664845,46102.0,0,0,16
3878,2n Cycle,43,3501,Single,1,0,Spain,3,5,0.0035680330994537,31859.0,0,0,48
9612,2n Cycle,36,3521,Single,0,0,Spain,3,5,0.0031963629849272,23830.0,0,0,43
4098,Graduation,50,3531,Married,1,1,Australia,3,9,0.0032706970078325,24639.0,0,0,44
158,PhD,78,3603,Together,0,0,Spain,3,17,0.0889034913947218,71604.0,1,0,1196
3896,Graduation,39,3613,Married,1,0,Spain,3,5,0.0027503588474955,27255.0,0,0,37
9970,Graduation,46,3634,Together,0,1,Canada,3,9,0.0120421117106563,55375.0,0,0,162
4002,PhD,63,3638,Married,0,1,Spain,3,27,0.0834771077226359,77037.0,0,0,1123
10914,Graduation,53,3639,Single,1,1,Spain,3,6,0.0012636783893898,24163.0,0,0,17
7279,PhD,54,3651,Together,0,0,USA,3,15,0.0776047199131184,69476.0,0,0,1044
10582,Graduation,44,3740,Married,0,1,Germany,3,21,0.0563451893622066,72063.0,0,0,758
4470,Master,61,3763,Married,0,1,Spain,3,8,0.01040676320674,58646.0,0,0,140
6183,Master,61,3763,Married,0,1,Germany,3,8,0.01040676320674,58646.0,0,0,140
6379,Master,74,3775,Widow,1,1,USA,3,9,0.0089944167715395,47570.0,0,0,121
8601,Graduation,43,3805,Married,0,1,Australia,3,21,0.1036959619528737,80011.0,0,0,1395
4827,PhD,67,3855,Single,0,1,Spain,3,20,0.033821980421905,54998.0,0,0,455
6715,PhD,75,3922,Single,0,1,Spain,3,25,0.0509188056901207,60200.0,0,0,685
10676,Graduation,41,3983,Married,0,0,Spain,3,20,0.0871938088679002,63211.0,0,0,1173
1041,PhD,50,3998,Single,0,1,Saudi Arabia,3,19,0.0315176257118411,48432.0,0,0,424
492,PhD,50,3998,YOLO,0,1,Canada,3,19,0.0315176257118411,48432.0,0,0,424
11133,PhD,50,3998,YOLO,0,1,India,3,19,0.0315176257118411,48432.0,0,0,424
4491,Master,74,4015,Married,1,1,Spain,3,28,0.0875654789824267,62845.0,1,0,1178
873,Master,74,4015,Married,1,1,Spain,3,28,0.0875654789824267,62845.0,1,0,1178
1631,PhD,58,4043,Together,0,0,Germany,3,23,0.0952962173645764,65220.0,0,0,1282
8278,PhD,33,4051,Married,0,0,Spain,3,16,0.127185513190944,74214.0,0,0,1711
6815,2n Cycle,43,3416,Married,0,0,Spain,4,21,0.0601362245303762,96547.0,3,0,809
254,Graduation,68,3422,Together,0,1,Spain,4,18,0.0351599928342001,53863.0,1,0,473
1349,Graduation,53,3448,Married,2,0,India,4,8,0.0110014353899823,50447.0,0,0,148
2534,Graduation,70,3448,Married,0,1,Australia,4,10,0.0139747963061937,37716.0,0,0,188
2130,Graduation,41,3477,Together,2,0,Saudi Arabia,4,8,0.010927101367077,45203.0,0,0,147
2296,Master,48,3574,Married,1,0,Spain,4,4,0.0022300206871585,37368.0,1,0,30
3799,Graduation,68,3594,Married,0,1,USA,4,23,0.064521931881788,67225.0,0,0,868
11084,Master,47,3606,Together,0,1,Canada,4,17,0.0782737261192659,65104.0,0,0,1053
5172,Master,47,3606,Together,0,1,Spain,4,17,0.0782737261192659,65104.0,0,0,1053
9504,Master,74,3614,Married,0,0,Spain,4,25,0.0749286950885281,81698.0,0,0,1008
850,Graduation,55,3645,Single,0,1,Spain,4,22,0.0562708553393013,70566.0,0,0,757
4477,Graduation,65,3654,Together,0,1,Germany,4,18,0.0485401169571516,69096.0,0,0,653
1945,Graduation,61,3663,Married,0,1,Spain,4,21,0.1040676320674001,71434.0,2,0,1400
7685,Graduation,45,3672,Married,1,0,Spain,4,7,0.0057980537866122,33039.0,0,0,78
6310,Graduation,45,3672,Married,1,0,Canada,4,7,0.0057980537866122,33039.0,0,0,78
10832,Graduation,65,3725,Together,0,0,Spain,4,14,0.0347139886967684,46610.0,0,0,467
3025,Graduation,65,3735,Single,0,1,Canada,4,15,0.0227462110090174,49967.0,0,0,306
2404,Graduation,47,3777,Married,1,1,USA,4,14,0.0191038438866584,53359.0,0,0,257
8581,Master,52,3860,Married,1,1,Spain,4,29,0.0558248512018696,49505.0,0,0,751
8755,Master,77,3873,Married,0,0,Australia,4,18,0.0889034913947218,68657.0,0,0,1196
10177,Graduation,69,3879,Divorced,0,1,Spain,4,20,0.0994589226472724,72071.0,0,0,1338
2429,Graduation,69,3879,Divorced,0,1,Canada,4,20,0.0994589226472724,72071.0,0,0,1338
8920,Master,56,3912,Single,1,0,India,4,28,0.0838487778371624,59235.0,0,0,1128
8430,Graduation,66,3931,Together,0,1,Australia,4,4,0.0016353485039162,21994.0,0,0,22
8619,Graduation,66,3931,Together,0,1,Spain,4,4,0.0016353485039162,21994.0,0,0,22
7233,Graduation,51,4029,Married,0,0,Canada,4,16,0.1324632288172193,69209.0,1,0,1782
6678,Graduation,34,3472,Together,1,0,India,5,9,0.0053520496491805,31928.0,0,0,72
830,PhD,36,3504,Single,0,0,India,5,15,0.1232458099769638,74004.0,2,0,1658
6365,2n Cycle,36,3679,Married,0,0,India,5,6,0.0059467218324228,30390.0,0,0,80
6770,Graduation,38,3692,Married,1,0,USA,5,7,0.0050547135575594,21355.0,1,0,68
2261,Graduation,54,3750,Married,1,0,Germany,5,4,0.0011893443664845,26304.0,0,0,16
1031,2n Cycle,34,3799,Married,0,0,India,5,26,0.0789427323254135,85710.0,1,0,1062
10089,Graduation,49,3829,Divorced,0,0,Saudi Arabia,5,29,0.0826594334706778,102692.0,4,0,1112
9256,Graduation,52,3920,Single,0,1,Spain,5,27,0.0744083569281911,58350.0,0,0,1001
10641,Graduation,45,3928,Single,1,1,Spain,5,10,0.0042370393056012,7500.0,0,0,57
624,Master,39,3975,Single,0,0,Saudi Arabia,5,4,0.002601690801685,18890.0,1,0,35
4211,Basic,37,3987,Married,1,0,Canada,5,7,0.0042370393056012,20425.0,0,0,57
1407,Basic,37,3987,Married,1,0,Germany,5,7,0.0042370393056012,20425.0,0,0,57
10356,PhD,66,4024,Divorced,1,1,Spain,5,5,0.0023786887329691,41437.0,0,0,32
9323,Master,74,4039,Together,0,1,Mexico,5,26,0.0649679360192198,49912.0,1,0,874
1146,Master,74,4039,Together,0,1,Australia,5,26,0.0649679360192198,49912.0,1,0,874
6343,Graduation,64,3469,Married,0,1,Australia,6,23,0.1128390467702238,79823.0,1,0,1518
8545,Graduation,69,3479,Divorced,0,0,Spain,6,17,0.1329835669775563,85683.0,4,0,1789
8275,PhD,58,3519,Divorced,1,1,Spain,6,4,0.0014866804581057,47025.0,0,0,20
