,customer_id,overdue_sum,pay_normal,credit_limit,new_balance,highest_balance,high_credit_risk
0,58987402,0,1,16500.0,0.0,,0
5,58995151,0,1,,588720.0,491100.0,1
19,58997200,0,2,,840000.0,700500.0,0
29,54988608,0,3,37400.0,8425.2,7520.0,0
33,54987763,0,2,,15147.6,,0
43,59004828,0,3,88000.0,3196.8,6193.0,0
48,58994429,0,2,16500.0,3252.0,3210.0,1
52,54987756,0,2,,365331.6,304943.0,0
65,58988028,0,4,,16795.2,28500.0,0
71,58993180,0,3,,26688.0,31300.0,0
78,58996551,0,4,,7957.2,9411.0,0
89,54991742,0,4,,60572.4,65401.0,0
121,58991324,0,1,,118800.0,99500.0,0
128,58993672,0,3,16500.0,3487.2,3406.0,0
133,59004333,0,4,,39613.2,,0
139,54991294,0,1,,2617.2,2681.0,0
149,54987489,0,1,,0.0,,1
160,54991492,0,1,,28156.8,35700.0,1
167,59005881,0,2,,44400.0,37500.0,1
170,58994986,0,1,51700.0,1352.4,,0
176,59001751,0,2,108900.0,6094.8,101068.0,0
180,58992344,0,1,27500.0,0.0,,0
189,54987871,0,5,,204909.6,180500.0,0
196,58991158,0,2,,17556.0,21400.0,1
209,59001138,0,2,,24000.0,30500.0,0
221,59004654,0,1,129800.0,17748.0,15290.0,0
227,59003954,0,1,,355164.0,295500.0,0
237,58996773,0,2,,137853.6,115378.0,0
247,58994744,0,2,105600.0,1.2,3766.0,1
251,54992094,0,2,,25182.0,21485.0,0
255,58986751,0,1,,60000.0,50500.0,0
259,58987276,0,3,,540000.0,460500.0,0
298,59005254,0,5,,2496.0,19187.0,0
300,54991896,0,1,,21600.0,27500.0,1
306,54988051,0,1,116600.0,32210.4,27341.0,1
308,58988092,0,2,,180000.0,150500.0,0
317,58995877,0,2,,14616.0,17900.0,1
326,54988154,0,1,,25921.2,22101.0,1
328,58994035,0,1,57200.0,15753.6,13627.0,0
333,58993990,0,1,,360000.0,300500.0,1
336,58994019,0,2,,21831.6,26490.0,0
345,54992357,0,3,104500.0,92110.8,77258.0,0
348,54984524,0,2,100100.0,70514.4,59262.0,0
355,59001175,0,1,63800.0,2050.8,2208.0,0
357,58994856,0,3,58300.0,13995.6,53414.0,1
362,59005571,0,4,,14786.4,22327.0,1
365,58982387,0,2,110000.0,26428.8,27303.0,0
380,58996590,0,2,,1547596.8,1296347.0,0
383,59005708,0,1,,513638.4,428532.0,0
396,59005099,0,2,,24000.0,30500.0,0
401,58993461,0,2,,3356.4,3297.0,0
408,58992482,0,1,85800.0,38505.6,32587.0,0
421,54987053,0,2,,2325.6,2681.0,0
432,58993992,0,1,,18000.0,15500.0,0
434,59001951,0,2,,29748.0,43000.0,0
438,59003535,0,3,,23328.0,35500.0,0
448,58986444,0,2,,0.0,3549.0,0
456,58987491,0,2,127600.0,46910.4,49591.0,0
460,59003268,0,2,,13945.2,12121.0,1
464,58988166,0,3,,5451.6,16150.0,0
467,54984727,0,2,,46431.6,41100.0,0
474,54988259,0,3,70400.0,39973.2,34710.0,0
484,58995813,0,4,,7200.0,12500.0,0
507,59003975,0,1,182600.0,24327.6,20773.0,0
511,54988427,0,5,,32262.0,44500.0,0
524,54987715,0,4,,27679.2,29334.0,0
529,54992448,0,1,,180000.0,150500.0,0
537,59003000,0,1,69300.0,39766.8,33639.0,0
